rule_id,rule_name,severity,domain,entity_id,detail,business_impact
MAT-001,Missing material description,HIGH,Material,MAT00011,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00019,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00046,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00049,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00088,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00122,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00170,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-001,Missing material description,HIGH,Material,MAT00177,Description is blank or null,Buyers cannot identify the material; procurement errors likely.
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00057,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00075,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00089,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00090,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00118,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00125,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-002,Invalid unit of measure,CRITICAL,Material,MAT00197,UOM value: INVALID,"Incorrect UOM breaks purchase orders, goods receipts, and inventory valuations."
MAT-003,Active material missing MRP controller,HIGH,Material,MAT00069,"Lifecycle: ACTIVE, MRP controller: NULL",MRP runs with no planner assigned; shortage goes unnoticed.
MAT-003,Active material missing MRP controller,HIGH,Material,MAT00114,"Lifecycle: ACTIVE, MRP controller: NULL",MRP runs with no planner assigned; shortage goes unnoticed.
MAT-003,Active material missing MRP controller,HIGH,Material,MAT00135,"Lifecycle: ACTIVE, MRP controller: NULL",MRP runs with no planner assigned; shortage goes unnoticed.
MAT-003,Active material missing MRP controller,HIGH,Material,MAT00167,"Lifecycle: ACTIVE, MRP controller: NULL",MRP runs with no planner assigned; shortage goes unnoticed.
MAT-003,Active material missing MRP controller,HIGH,Material,MAT00187,"Lifecycle: ACTIVE, MRP controller: NULL",MRP runs with no planner assigned; shortage goes unnoticed.
MAT-003,Active material missing MRP controller,HIGH,Material,MAT00199,"Lifecycle: ACTIVE, MRP controller: NULL",MRP runs with no planner assigned; shortage goes unnoticed.
MAT-004,Active material missing lead time,HIGH,Material,MAT00032,Procurement type: F,MRP cannot schedule procurement; stockouts likely.
MAT-004,Active material missing lead time,HIGH,Material,MAT00041,Procurement type: X,MRP cannot schedule procurement; stockouts likely.
MAT-004,Active material missing lead time,HIGH,Material,MAT00043,Procurement type: E,MRP cannot schedule procurement; stockouts likely.
MAT-004,Active material missing lead time,HIGH,Material,MAT00087,Procurement type: F,MRP cannot schedule procurement; stockouts likely.
MAT-004,Active material missing lead time,HIGH,Material,MAT00105,Procurement type: F,MRP cannot schedule procurement; stockouts likely.
MAT-004,Active material missing lead time,HIGH,Material,MAT00114,Procurement type: E,MRP cannot schedule procurement; stockouts likely.
MAT-004,Active material missing lead time,HIGH,Material,MAT00122,Procurement type: E,MRP cannot schedule procurement; stockouts likely.
MAT-004,Active material missing lead time,HIGH,Material,MAT00128,Procurement type: E,MRP cannot schedule procurement; stockouts likely.
MAT-004,Active material missing lead time,HIGH,Material,MAT00137,Procurement type: X,MRP cannot schedule procurement; stockouts likely.
MAT-004,Active material missing lead time,HIGH,Material,MAT00148,Procurement type: X,MRP cannot schedule procurement; stockouts likely.
MAT-004,Active material missing lead time,HIGH,Material,MAT00186,Procurement type: E,MRP cannot schedule procurement; stockouts likely.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00035,Material type: HALB,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00042,Material type: HALB,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00043,Material type: HALB,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00049,Material type: HALB,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00057,Material type: FERT,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00058,Material type: HALB,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00119,Material type: FERT,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00137,Material type: HIBE,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00147,Material type: HIBE,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00168,Material type: HIBE,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-005,Active material with no plant view,CRITICAL,Material,MAT00178,Material type: HALB,Material cannot be used in any plant; invisible to MRP and procurement.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00007,Reorder point: 96,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00022,Reorder point: 51,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00031,Reorder point: 51,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00032,Reorder point: 41,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00041,Reorder point: 51,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00043,Reorder point: 76,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00087,Reorder point: 18,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00105,Reorder point: 83,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00114,Reorder point: 12,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00116,Reorder point: 42,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00122,Reorder point: 7,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00128,Reorder point: 92,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00137,Reorder point: 49,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00148,Reorder point: 21,Reorder trigger fires but replenishment time is unknown; wrong order timing.
MAT-006,Reorder point set without lead time,MEDIUM,Material,MAT00186,Reorder point: 98,Reorder trigger fires but replenishment time is unknown; wrong order timing.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00018,"BOM: BOM1001, Parent: MAT00189, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00065,"BOM: BOM1001, Parent: MAT00189, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00198,"BOM: BOM1001, Parent: MAT00189, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00065,"BOM: BOM1002, Parent: MAT00059, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00095,"BOM: BOM1002, Parent: MAT00059, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00112,"BOM: BOM1002, Parent: MAT00059, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00149,"BOM: BOM1003, Parent: MAT00059, Component status: OBSOLETE",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00182,"BOM: BOM1003, Parent: MAT00059, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00198,"BOM: BOM1003, Parent: MAT00059, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00179,"BOM: BOM1004, Parent: MAT00098, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00009,"BOM: BOM1005, Parent: MAT00098, Component status: BLOCKED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00089,"BOM: BOM1005, Parent: MAT00098, Component status: OBSOLETE",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00033,"BOM: BOM1007, Parent: MAT00142, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00088,"BOM: BOM1007, Parent: MAT00142, Component status: BLOCKED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00095,"BOM: BOM1007, Parent: MAT00142, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00080,"BOM: BOM1009, Parent: MAT00130, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00118,"BOM: BOM1009, Parent: MAT00130, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00082,"BOM: BOM1010, Parent: MAT00083, Component status: BLOCKED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00118,"BOM: BOM1010, Parent: MAT00083, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00179,"BOM: BOM1011, Parent: MAT00083, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00097,"BOM: BOM1013, Parent: MAT00076, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00060,"BOM: BOM1014, Parent: MAT00047, Component status: BLOCKED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00060,"BOM: BOM1015, Parent: MAT00047, Component status: BLOCKED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00065,"BOM: BOM1015, Parent: MAT00047, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00088,"BOM: BOM1015, Parent: MAT00047, Component status: BLOCKED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00115,"BOM: BOM1015, Parent: MAT00047, Component status: OBSOLETE",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00082,"BOM: BOM1016, Parent: MAT00181, Component status: BLOCKED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00060,"BOM: BOM1021, Parent: MAT00077, Component status: BLOCKED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00124,"BOM: BOM1021, Parent: MAT00077, Component status: OBSOLETE",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00005,"BOM: BOM1022, Parent: MAT00135, Component status: OBSOLETE",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00018,"BOM: BOM1022, Parent: MAT00135, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00089,"BOM: BOM1022, Parent: MAT00135, Component status: OBSOLETE",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00097,"BOM: BOM1024, Parent: MAT00069, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00088,"BOM: BOM1025, Parent: MAT00069, Component status: BLOCKED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00112,"BOM: BOM1025, Parent: MAT00069, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00116,"BOM: BOM1025, Parent: MAT00069, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00118,"BOM: BOM1025, Parent: MAT00069, Component status: DISCONTINUED",Production orders will reference unavailable parts; line stoppages likely.
BOM-001,Active BOM using obsolete/blocked component,CRITICAL,BOM,MAT00060,"BOM: BOM1026, Parent: MAT00057, Component status: BLOCKED",Production orders will reference unavailable parts; line stoppages likely.
